,weight,total_income,pitax,table_row
92588,20.96207025411061,0.0,0.0,1
40392,20.96207025411061,0.0,0.0,1
69228,20.96207025411061,0.0,0.0,1
72130,20.96207025411061,0.0,0.0,1
72128,20.96207025411061,0.0,0.0,1
63358,20.96207025411061,0.0,0.0,1
67516,20.96207025411061,0.0,0.0,1
67515,20.96207025411061,0.0,0.0,1
48392,20.96207025411061,0.0,0.0,1
33259,20.96207025411061,0.0,0.0,1
75084,20.96207025411061,0.0,0.0,1
9195,20.96207025411061,0.0,0.0,1
50993,20.96207025411061,0.0,0.0,1
23746,20.96207025411061,0.0,0.0,1
77457,20.96207025411061,0.0,0.0,1
29112,20.96207025411061,0.0,0.0,1
8082,20.96207025411061,0.0,0.0,1
79138,20.96207025411061,0.0,0.0,1
62701,20.96207025411061,0.0,0.0,1
48384,20.96207025411061,0.0,0.0,1
48381,20.96207025411061,0.0,0.0,1
58849,20.96207025411061,0.0,0.0,1
84291,20.96207025411061,0.0,0.0,1
58848,20.96207025411061,0.0,0.0,1
12814,20.96207025411061,0.0,0.0,1
56636,20.96207025411061,0.0,0.0,1
21217,20.96207025411061,0.0,0.0,1
21208,20.96207025411061,0.0,0.0,1
35568,20.96207025411061,0.0,0.0,1
28323,20.96207025411061,0.0,0.0,1
12781,20.96207025411061,0.0,0.0,1
86239,20.96207025411061,0.0,0.0,1
652,20.96207025411061,0.0,0.0,1
87378,20.96207025411061,0.0,0.0,1
92566,20.96207025411061,0.0,0.0,1
39515,20.96207025411061,0.0,0.0,1
60704,20.96207025411061,0.0,0.0,1
63371,20.96207025411061,0.0,0.0,1
63367,20.96207025411061,0.0,0.0,1
35583,20.96207025411061,0.0,0.0,1
9867,20.96207025411061,0.0,0.0,1
55779,20.96207025411061,0.0,0.0,1
83294,20.96207025411061,0.0,0.0,1
60086,20.96207025411061,0.0,0.0,1
39498,20.96207025411061,0.0,0.0,1
40412,20.96207025411061,0.0,0.0,1
84266,20.96207025411061,0.0,0.0,1
84264,20.96207025411061,0.0,0.0,1
61212,20.96207025411061,0.0,0.0,1
16762,20.96207025411061,0.0,0.0,1
39470,20.96207025411061,0.0,0.0,1
39467,20.96207025411061,0.0,0.0,1
39466,20.96207025411061,0.0,0.0,1
40428,20.96207025411061,0.0,0.0,1
6509,20.96207025411061,0.0,0.0,1
90588,20.96207025411061,0.0,0.0,1
83291,20.96207025411061,0.0,0.0,1
21185,20.96207025411061,0.0,0.0,1
70687,20.96207025411061,0.0,0.0,1
70686,20.96207025411061,0.0,0.0,1
6488,20.96207025411061,0.0,0.0,1
74657,20.96207025411061,0.0,0.0,1
56428,20.96207025411061,0.0,0.0,1
56427,20.96207025411061,0.0,0.0,1
26375,20.96207025411061,0.0,0.0,1
79568,20.96207025411061,0.0,0.0,1
53570,20.96207025411061,0.0,0.0,1
26368,20.96207025411061,0.0,0.0,1
99664,20.96207025411061,0.0,0.0,1
40450,20.96207025411061,0.0,0.0,1
76297,20.96207025411061,0.0,0.0,1
90599,20.96207025411061,0.0,0.0,1
90593,20.96207025411061,0.0,0.0,1
59422,20.96207025411061,0.0,0.0,1
95652,20.96207025411061,0.0,0.0,1
78573,20.96207025411061,0.0,0.0,1
48452,20.96207025411061,0.0,0.0,1
59412,20.96207025411061,0.0,0.0,1
73029,20.96207025411061,0.0,0.0,1
723,20.96207025411061,0.0,0.0,1
58351,20.96207025411061,0.0,0.0,1
92552,20.96207025411061,0.0,0.0,1
15595,20.96207025411061,0.0,0.0,1
21740,20.96207025411061,0.0,0.0,1
33213,20.96207025411061,0.0,0.0,1
33212,20.96207025411061,0.0,0.0,1
70252,20.96207025411061,0.0,0.0,1
56651,20.96207025411061,0.0,0.0,1
95646,20.96207025411061,0.0,0.0,1
77450,20.96207025411061,0.0,0.0,1
66596,20.96207025411061,0.0,0.0,1
33729,20.96207025411061,0.0,0.0,1
75072,20.96207025411061,0.0,0.0,1
56429,20.96207025411061,0.0,0.0,1
3514,20.96207025411061,0.0,0.0,1
51044,20.96207025411061,0.0,0.0,1
86981,20.96207025411061,0.0,0.0,1
59758,20.96207025411061,0.0,0.0,1
70508,20.96207025411061,0.0,0.0,1
8302,20.96207025411061,0.0,0.0,1
8293,20.96207025411061,0.0,0.0,1
23847,20.96207025411061,0.0,0.0,1
97179,20.96207025411061,0.0,0.0,1
42874,20.96207025411061,0.0,0.0,1
9933,20.96207025411061,0.0,0.0,1
75403,20.96207025411061,0.0,0.0,1
75399,20.96207025411061,0.0,0.0,1
70489,20.96207025411061,0.0,0.0,1
67109,20.96207025411061,0.0,0.0,1
75191,20.96207025411061,0.0,0.0,1
23894,20.96207025411061,0.0,0.0,1
89406,20.96207025411061,0.0,0.0,1
99663,20.96207025411061,0.0,0.0,1
42855,20.96207025411061,0.0,0.0,1
53541,20.96207025411061,0.0,0.0,1
28280,20.96207025411061,0.0,0.0,1
