id_n,Year,income_wage_l,income_dividends_c,income_interest_c,total_gross_income,pitax_w,pitax_c,pitax
143395,2018,2460662,0,0,2460662,356519,0,356519
114924,2018,347106,0,0,347106,34711,0,34711
109194,2018,0,0,0,0,0,0,0
82200,2018,757008,941688,257304,1956000,75701,119899,195600
127386,2018,1082136,0,0,1082136,108384,0,108384
117583,2018,1287711,0,0,1287711,145388,0,145388
144466,2018,1951302,0,0,1951302,264834,0,264834
108258,2018,1558972,0,0,1558972,194215,0,194215
109503,2018,207002,0,0,207002,20700,0,20700
129203,2018,2202617,329832,0,2532449,310071,32983,343054
132145,2018,1293294,0,0,1293294,146393,0,146393
108511,2018,1116228,8872139,0,9988367,114521,887214,1001735
150941,2018,2333149,0,0,2333149,333567,0,333567
103516,2018,176556,1354713,0,1531269,17656,135471,153127
107528,2018,1438295,0,0,1438295,172493,0,172493
120767,2018,1268010,0,0,1268010,141842,0,141842
106207,2018,861302,1180814,0,2042116,86130,118081,204212
113276,2018,2137252,0,0,2137252,298305,0,298305
103702,2018,1082136,5624444,0,6706580,108384,562444,670829
106915,2018,452120,138142,0,590262,45212,13814,59026
87246,2018,1250600,4666666,0,5917266,138708,466667,605375
92788,2018,4264729,0,0,4264729,681251,0,681251
82541,2018,1757940,4727901,66991,6552832,230029,479489,709518
151013,2018,1340883,1205104,0,2545987,154959,120510,275469
148200,2018,207000,0,0,207000,20700,0,20700
153293,2018,0,2141773,0,2141773,0,214177,214177
131807,2018,351550,0,0,351550,35155,0,35155
93518,2018,2662199,0,0,2662199,392796,0,392796
113120,2018,207252,0,0,207252,20725,0,20725
130543,2018,2328045,0,0,2328045,332648,0,332648
95662,2018,305897,1097274,0,1403171,30590,109727,140317
138421,2018,0,0,0,0,0,0,0
114019,2018,11623205,5652654,0,17275859,2005777,565265,2571042
101802,2018,249580,1158704,0,1408284,24958,115870,140828
141291,2018,1405059,0,0,1405059,166511,0,166511
111524,2018,0,8355545,0,8355545,0,835554,835554
145026,2018,2992615,0,0,2992615,452271,0,452271
